empresa;cargo;localizacao;modalidade;contrato;pcd;data
Globo;Cientista de Dados Júnior | Soluções para o Consumidor e Inteligência;Rio de Jan... - RJ;Presencial;Efetivo;Não informado;21/08/2023
Leega Consultoria;Analista de Dados Pleno ;São Paulo - SP;Presencial;Efetivo;Não informado;21/08/2023
Trabalhe Conosco Unimed Goiânia;Analista de Dados em Saude II - Analytics;Goiânia - GO;Presencial;Efetivo;Também p/ PcD;21/08/2023
Tech Sicredi;Cientista de Dados -  Foco Concessão de Crédito;Porto Alegre - RS;Remoto;Efetivo;Também p/ PcD;21/08/2023
Autoglass Estágio;Estagiário(a) - Análise de dados e relatórios ;Vila Velha - ES;Presencial;Efetivo;Não informado;21/08/2023
MESHA TECNOLOGIA;Engenheiro(a) de Dados;Maceió - AL;Remoto;Efetivo;Também p/ PcD;21/08/2023
Bip Brasil;Pessoa Consultora de Dados & Analytics Sênior - O&G ;Rio de Jan... - RJ;Presencial;Efetivo;Também p/ PcD;21/08/2023
Niteo;Engenheiro de Dados Microsoft Senior;Florianópolis - SC;Presencial;Pessoa Jurídica;Também p/ PcD;21/08/2023
Datum TI;Pessoa Engenheira de Dados AWS Sênior ;São Paulo - SP;Remoto;Efetivo;Também p/ PcD;21/08/2023
Caju Benefícios;Pessoa Analista de Governança de Dados Sênior;Não informado;Remoto;Efetivo;Também p/ PcD;18/08/2023
NAVA | Technology for Business;PESSOA ENGENHEIRA DE DADOS PL - REMOTO;Não informado;Remoto;Efetivo;Também p/ PcD;18/08/2023
NAVA | Technology for Business;CIENTISTA DE DADOS PL - REMOTO;Não informado;Remoto;Efetivo;Também p/ PcD;18/08/2023
Wake;Analista de Dados BI Sênior - Modelo de trabalho Remoto;São Paulo - SP;Presencial;Efetivo;Não informado;18/08/2023
Zallpy Digital;Cientista de Dados Pleno;Porto Alegre - RS;Remoto;Efetivo;Também p/ PcD;18/08/2023
A Fórmula - Farmácia de Manipulação;Analista de Dados;São Paulo - SP;Presencial;Pessoa Jurídica;Não informado;18/08/2023
Central IT;Administrador de Banco de Dados;Não informado;Presencial;Efetivo;Também p/ PcD;18/08/2023
ProcessMind;Analista Banco de Dados ;São Paulo - SP;Presencial;Pessoa Jurídica;Não informado;18/08/2023
Sabará Hospital Infantil;Cientista de Dados - FJLES;São Paulo - SP;Presencial;Efetivo;Também p/ PcD;18/08/2023
Scala;ENGENHEIRO DE DADOS PL;Não informado;Remoto;Efetivo;Também p/ PcD;18/08/2023
Farmax;Engenheiro (a) de dados ;Belo Horiz... - MG;Remoto;Efetivo;Não informado;18/08/2023
